aX,aY,aZ,gX,gY,gZ
0.371,-0.406,-0.895,-61.180,-246.050,223.090
0.345,-0.333,-0.825,-58.310,-249.060,223.090
0.286,-0.277,-0.740,-57.470,-252.070,222.250
0.230,-0.285,-0.701,-57.470,-254.590,220.640
0.166,-0.243,-0.625,-55.510,-257.110,220.220
0.129,-0.210,-0.651,-53.830,-255.990,219.240
0.099,-0.194,-0.640,-53.130,-255.780,218.260
0.103,-0.156,-0.597,-50.540,-252.910,212.170
0.066,-0.095,-0.538,-48.090,-251.650,208.670
0.013,-0.099,-0.494,-43.750,-251.650,208.180
-0.046,-0.090,-0.467,-38.010,-249.480,203.770
-0.071,-0.028,-0.435,-28.490,-243.250,200.550
-0.133,0.013,-0.430,-19.320,-236.600,197.820
-0.170,0.019,-0.468,-14.350,-227.500,192.920
-0.180,0.007,-0.497,-10.220,-214.900,187.110
-0.169,0.053,-0.471,-8.960,-204.260,182.350
-0.182,0.026,-0.457,-14.000,-191.730,175.840
-0.248,0.002,-0.467,-16.730,-176.610,169.680
-0.201,0.030,-0.406,-11.060,-170.870,169.540
-0.235,0.061,-0.401,-5.530,-158.130,161.560
-0.255,0.111,-0.380,6.160,-146.580,161.490
-0.342,0.079,-0.414,8.470,-125.650,154.000
-0.235,0.072,-0.396,5.040,-115.500,158.760
-0.216,0.017,-0.385,-7.140,-109.760,144.620
-0.105,0.052,-0.394,-16.520,-92.820,130.970
-0.213,0.117,-0.379,-18.340,-77.840,105.350
-0.172,0.197,-0.342,-20.790,-55.230,77.000
-0.402,0.345,-0.239,12.180,-29.890,84.140
-0.394,0.272,-0.164,19.180,-36.960,84.630
-0.145,0.330,-0.165,30.450,-55.860,97.580
-0.185,0.314,-0.201,43.330,-45.010,92.750
-0.515,0.340,-0.241,59.640,-17.010,80.150
-0.689,0.338,-0.157,66.850,-21.210,101.150
-0.499,0.238,-0.240,62.650,-8.400,106.120
-0.462,0.220,-0.180,45.500,-23.660,104.160
-0.136,0.245,-0.186,46.550,-23.380,81.550
-0.455,0.389,-0.129,41.300,-33.670,62.090
-0.339,0.366,-0.191,100.730,-17.850,58.870
-0.709,0.424,-0.246,53.970,-16.100,75.600
-0.591,0.376,-0.294,46.900,-20.160,77.840
-0.611,0.432,-0.315,49.840,-18.900,77.280
-0.586,0.484,-0.320,56.140,-13.020,74.340
-0.595,0.462,-0.313,58.590,-9.520,69.090
-0.588,0.443,-0.320,49.420,-12.040,67.550
